Code,Oblast,Opstina,Oblast,Opstina_Cir,MunicipaltiesOSM,Region
70327,Borska oblast,Bor,Борски управни округ,Бор,Bor Municipality,Southern and Eastern Serbia
70572,Borska oblast,Kladovo,Борски управни округ,Кладово,Kladovo Municipality,Southern and Eastern Serbia
70785,Borska oblast,Majdanpek,Борски управни округ,Мајданпек,Majdanpek Municipality,Southern and Eastern Serbia
70840,Borska oblast,Negotin,Борски управни округ,Неготин,Negotin Municipality,Southern and Eastern Serbia
70394,Braničevska oblast,Veliko Gradište,Браничевски управни округ,Велико Градиште,Veliko Gradiste Municipality,Southern and Eastern Serbia
70475,Braničevska oblast,Golubac,Браничевски управни округ,Голубац,Golubac Municipality,Southern and Eastern Serbia
70521,Braničevska oblast,Žabari,Браничевски управни округ,Жабари,Zabari Municipality,Southern and Eastern Serbia
70530,Braničevska oblast,Žagubica,Браничевски управни округ,Жагубица,Zagubica Municipality,Southern and Eastern Serbia
70696,Braničevska oblast,Kučevo,Браничевски управни округ,Кучево,Kucevo Municipality,Southern and Eastern Serbia
70807,Braničevska oblast,Malo Crniće,Браничевски управни округ,Мало Црниће,Malo Crnice Municipality,Southern and Eastern Serbia
70912,Braničevska oblast,Petrovac na Mlavi,Браничевски управни округ,Петровац на Млави,Petrovac-na-Mlavi Municipality,Southern and Eastern Serbia
70947,Braničevska oblast,Požarevac,Браничевски управни округ,Пожаревац,Pozarevac City,Southern and Eastern Serbia
71340,Braničevska oblast,Kostolac,Браничевски управни округ,Костолац,Kostolac Urban Municipality,Southern and Eastern Serbia
70092,Beogradska oblast,Beograd-Barajevo,Град Београд,Београд – Барајево,Barajevo Urban Municipality,Belgrade
70106,Beogradska oblast,Beograd-Voždovac,Град Београд,Београд – Вождовац,Vozdovac Urban Municipality,Belgrade
70114,Beogradska oblast,Beograd-Vračar,Град Београд,Београд – Врачар,Vracar Urban Municipality,Belgrade
70122,Beogradska oblast,Beograd-Grocka,Град Београд,Београд – Гроцка,Grocka Urban Municipality,Belgrade
70149,Beogradska oblast,Beograd-Zvezdara,Град Београд,Београд – Звездара,Zvezdara Urban Municipality,Belgrade
70157,Beogradska oblast,Beograd-Zemun,Град Београд,Београд – Земун,Zemun Urban Municipality,Belgrade
70165,Beogradska oblast,Beograd-Lazarevac,Град Београд,Београд – Лазаревац,Lazarevac Urban Municipality,Belgrade
70173,Beogradska oblast,Beograd-Mladenovac,Град Београд,Београд – Младеновац,Mladenovac Urban Municipality,Belgrade
70181,Beogradska oblast,Beograd-Novi Beograd,Град Београд,Београд – Нови Београд,New Belgrade Urban Municipality,Belgrade
70190,Beogradska oblast,Beograd-Obrenovac,Град Београд,Београд – Обреновац,Obrenovac Urban Municipality,Belgrade
70203,Beogradska oblast,Beograd-Palilula,Град Београд,Београд – Палилула,Palilula Urban Municipality,Belgrade
70211,Beogradska oblast,Beograd-Rakovica,Град Београд,Београд – Раковица,Rakovica Urban Municipality,Belgrade
70220,Beogradska oblast,Beograd-Savski Venac,Град Београд,Београд – Савски венац,Savski Venac Urban Municipality,Belgrade
70238,Beogradska oblast,Beograd-Sopot,Град Београд,Београд – Сопот,Sopot Urban Municipality,Belgrade
70246,Beogradska oblast,Beograd-Stari Grad,Град Београд,Београд – Стари град,Stari Grad Urban Municipality,Belgrade
70254,Beogradska oblast,Beograd-Čukarica,Град Београд,Београд – Чукарица,Cukarica Urban Municipality,Belgrade
71293,Beogradska oblast,Beograd-Surčin,Град Београд,Београд – Сурчин,Surcin Urban Municipality,Belgrade
70319,Zaječarska oblast,Boljevac,Зајечарски управни округ,Бољевац,Boljevac Municipality,Southern and Eastern Serbia
70556,Zaječarska oblast,Zaječar-grad,Зајечарски управни округ,Зајечар – град,Zajecar City,Southern and Eastern Serbia
70602,Zaječarska oblast,Knjaževac,Зајечарски управни округ,Књажевац,Knjazevac Municipality,Southern and Eastern Serbia
71129,Zaječarska oblast,Sokobanja,Зајечарски управни округ,Сокобања,Sokobanja Municipality,Southern and Eastern Serbia
80047,Zapadnobačka oblast,Apatin,Западнобачки управни округ,Апатин,Apatin Municipality,Vojvodina
80233,Zapadnobačka oblast,Kula,Западнобачки управни округ,Кула,Kula Municipality,Vojvodina
80306,Zapadnobačka oblast,Odžaci,Западнобачки управни округ,Оџаци,Odzaci Municipality,Vojvodina
80381,Zapadnobačka oblast,Sombor-grad,Западнобачки управни округ,Сомбор – град,Sombor City,Vojvodina
70041,Zlatiborska oblast,Arilje,Златиборски управни округ,Ариље,Arilje Municipality,Sumadija and Western Serbia
70068,Zlatiborska oblast,Bajina Bašta,Златиборски управни округ,Бајина Башта,Bajina Basta Municipality,Sumadija and Western Serbia
70629,Zlatiborska oblast,Kosjerić,Златиборски управни округ,Косјерић,Kosjeric Municipality,Sumadija and Western Serbia
70866,Zlatiborska oblast,Nova Varoš,Златиборски управни округ,Нова Варош,Nova Varos Municipality,Sumadija and Western Serbia
70955,Zlatiborska oblast,Požega,Златиборски управни округ,Пожега,Pozega Municipality,Sumadija and Western Serbia
70971,Zlatiborska oblast,Priboj,Златиборски управни округ,Прибој,Priboj Municipality,Sumadija and Western Serbia
70980,Zlatiborska oblast,Prijepolje,Златиборски управни округ,Пријепоље,Prijepolje Municipality,Sumadija and Western Serbia
71072,Zlatiborska oblast,Sjenica,Златиборски управни округ,Сјеница,Sjenica Municipality,Sumadija and Western Serbia
71145,Zlatiborska oblast,Užice-grad,Златиборски управни округ,Ужице – град,Uzice City,Sumadija and Western Serbia
71234,Zlatiborska oblast,Čajetina,Златиборски управни округ,Чајетина,Cajetina Municipality,Sumadija and Western Serbia
70297,Jablanička oblast,Bojnik,Јабланички управни округ,Бојник,Bojnik Municipality,Southern and Eastern Serbia
70424,Jablanička oblast,Vlasotince,Јабланички управни округ,Власотинце,Vlasotince Municipality,Southern and Eastern Serbia
70718,Jablanička oblast,Lebane,Јабланички управни округ,Лебане,Lebane Municipality,Southern and Eastern Serbia
70726,Jablanička oblast,Leskovac-grad,Јабланички управни округ,Лесковац – град,Leskovac City,Southern and Eastern Serbia
